[ 2017-02-27T00:03:33+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='js/Style/53.gif' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/53.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /SjtAdminSjt_Wangguan_wggame.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='js/Style/52.gif' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/52.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='js/Style/51.gif' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:04+08:00 ] /js/Style/51.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | SQL: SHOW COLUMNS FROM `pay_tkconfig` [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | SQL: SELECT * FROM `pay_tkconfig` WHERE UserID=0  [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | NOTIC: [8] Undefined index: Email b6f4964a2722999b35cf64004d92b514.php 第 49 行.
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tksz.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | SQL: SELECT COUNT(*) AS tp_count FROM `pay_tklist` WHERE T=1 and wt = 0 and DATEDIFF('2017-02-27',sq_date) <= 0 and DATEDIFF('2017-02-27',sq_date) >= 0 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | SQL: SELECT * FROM `pay_tklist` WHERE T=1 and wt = 0 and DATEDIFF('2017-02-27',sq_date) <= 0 and DATEDIFF('2017-02-27',sq_date) >= 0 ORDER BY sq_date desc LIMIT 0,10   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined index: zt 231c7d9eca00170997966d5d65ab64dc.php 第 66 行.
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined index: pagepage 231c7d9eca00170997966d5d65ab64dc.php 第 67 行.
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_end ] --START--
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:05+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_1.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ route_check ] --START--
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | SQL: SELECT COUNT(*) AS tp_count FROM `pay_tklist` WHERE T=0 and wt = 0 and DATEDIFF('2017-02-27',sq_date) <= 0 and DATEDIFF('2017-02-27',sq_date) >= 0 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | SQL: SELECT * FROM `pay_tklist` WHERE T=0 and wt = 0 and DATEDIFF('2017-02-27',sq_date) <= 0 and DATEDIFF('2017-02-27',sq_date) >= 0 ORDER BY sq_date desc LIMIT 0,10   [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_template ] --START--
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T21:02:06+08:00 ] /SjtAdminSjt_Tikuan_tkjl_T_0.html?sq_date=2017-02-27&sq_date_js=2017-02-27 | NOTIC: [8] Undefined index: zt 231c7d9eca00170997966d5d65ab64dc.php 第 66 行.
